time,channel,count
2019-05-30,bot-shrine,84
2019-10-31,annoyncements,1
2019-11-09,annoyncements,1
2022-12-10,annoyncements,3
2019-08-24,annoyncements,1
2024-06-08,annoyncements,1
2019-12-11,bot-shrine,35
2020-08-28,annoyncements,1
2020-01-05,annoyncements,1
2024-11-05,annoyncements,1
2020-10-31,annoyncements,1
2023-01-21,annoyncements,1
2020-10-17,annoyncements,1
2024-02-08,annoyncements,2
2022-04-08,annoyncements,3
2019-07-11,bot-shrine,51
2021-11-09,annoyncements,4
2023-05-27,annoyncements,2
2019-10-13,annoyncements,1
2020-02-22,annoyncements,1
2023-08-09,annoyncements,3
2019-07-23,annoyncements,1
2019-09-27,annoyncements,1
2024-06-04,annoyncements,1
2019-09-20,annoyncements,1
2019-09-02,bot-shrine,93
2021-10-03,annoyncements,5
2023-08-12,annoyncements,1
2020-12-23,annoyncements,2
2020-02-25,annoyncements,2
2023-02-05,annoyncements,1
2020-01-09,annoyncements,2
2020-12-05,annoyncements,2
2024-01-23,annoyncements,1
2021-06-25,annoyncements,1
2023-12-15,annoyncements,1
2024-04-30,annoyncements,3
2024-02-27,annoyncements,2
2020-11-28,annoyncements,1
2021-10-02,annoyncements,2
2021-03-01,annoyncements,1
2024-07-06,annoyncements,3
2022-12-12,annoyncements,3
2021-08-20,annoyncements,2
2021-05-25,annoyncements,2
2019-05-20,bot-shrine,64
2020-03-26,annoyncements,1
2021-09-17,annoyncements,1
2023-02-24,annoyncements,2
2024-10-09,annoyncements,1
2023-02-07,annoyncements,1
2019-06-27,annoyncements,1
2019-03-19,bot-shrine,136
2019-12-18,bot-shrine,144
2022-12-18,annoyncements,2
2019-09-05,annoyncements,1
2022-08-12,annoyncements,1
2021-11-05,annoyncements,1
2019-07-16,annoyncements,1
2023-09-23,annoyncements,5
2020-11-25,annoyncements,4
2023-05-01,annoyncements,1
2024-07-18,annoyncements,2
2024-07-17,annoyncements,1
2022-12-23,annoyncements,2
2021-11-15,annoyncements,7
2022-05-15,annoyncements,3
2021-08-22,annoyncements,2
2024-06-10,annoyncements,2
2020-12-30,annoyncements,2
2021-02-01,annoyncements,2
2020-07-19,annoyncements,4
2020-05-16,annoyncements,1
2023-10-10,annoyncements,4
2019-10-04,bot-shrine,24
2024-09-16,annoyncements,1
2023-11-27,annoyncements,2
2023-06-17,annoyncements,2
2019-04-17,bot-shrine,14
2019-07-16,bot-shrine,53
2020-02-21,annoyncements,1
2019-04-06,annoyncements,1
2024-08-18,annoyncements,5
2021-04-30,annoyncements,2
2019-05-25,annoyncements,1
2019-10-20,bot-shrine,11
2019-08-15,annoyncements,1
2021-10-18,annoyncements,5
2024-06-23,annoyncements,2
2023-10-02,annoyncements,1
2019-06-18,annoyncements,2
2019-09-03,annoyncements,1
2021-06-10,annoyncements,2
2021-06-23,annoyncements,1
2020-04-06,annoyncements,3
2024-01-01,annoyncements,1
2020-08-21,annoyncements,3
2023-11-30,annoyncements,2
2019-11-22,annoyncements,1
2020-02-26,annoyncements,1
2023-02-10,annoyncements,2
2020-08-04,annoyncements,1
2019-07-06,annoyncements,1
2022-06-27,annoyncements,1
2023-11-04,annoyncements,7
2024-02-06,annoyncements,1
2020-03-13,annoyncements,1
2023-11-28,annoyncements,1
2024-04-07,annoyncements,1
2020-01-16,annoyncements,1
2019-09-14,bot-shrine,50
2019-03-14,bot-shrine,437
2024-04-24,annoyncements,2
2023-12-14,annoyncements,2
2019-12-27,annoyncements,1
2020-09-02,annoyncements,1
2022-11-01,annoyncements,2
2019-11-03,bot-shrine,6
2021-05-03,annoyncements,2
2022-09-11,annoyncements,2
2019-09-25,bot-shrine,31
2023-03-27,annoyncements,1
2024-11-04,annoyncements,4
2019-06-29,annoyncements,2
2022-09-14,annoyncements,2
2023-04-28,annoyncements,1
2024-09-05,annoyncements,2
2020-02-29,annoyncements,1
2024-09-10,annoyncements,1
2021-09-19,annoyncements,1
2023-01-27,annoyncements,2
2024-06-06,annoyncements,2
2019-04-20,bot-shrine,34
2019-07-12,annoyncements,1
2019-04-27,annoyncements,1
2022-02-16,annoyncements,2
2021-04-20,annoyncements,3
2021-01-14,annoyncements,4
2020-03-03,annoyncements,3
2019-10-17,annoyncements,1
2021-01-20,annoyncements,1
2021-09-21,annoyncements,1
2019-05-04,annoyncements,1
2023-03-06,annoyncements,1
2021-06-08,annoyncements,2
2020-06-24,annoyncements,1
2020-12-24,annoyncements,4
2019-12-02,annoyncements,1
2021-01-23,annoyncements,2
2022-07-06,annoyncements,3
2019-10-24,bot-shrine,9
2024-01-24,annoyncements,1
2020-10-06,annoyncements,2
2019-04-07,bot-shrine,110
2019-04-26,bot-shrine,108
2023-07-07,annoyncements,1
2021-03-21,annoyncements,1
2020-10-23,annoyncements,1
2019-04-10,annoyncements,1
2023-03-28,annoyncements,1
2023-07-08,annoyncements,1
2019-10-27,annoyncements,1
2024-02-09,annoyncements,5
2024-06-21,annoyncements,2
2024-07-09,annoyncements,1
2023-12-21,annoyncements,1
2021-06-14,annoyncements,1
2019-06-15,bot-shrine,26
2021-11-23,annoyncements,2
2021-03-12,annoyncements,2
2022-02-03,annoyncements,2
2024-05-08,annoyncements,2
2020-02-02,annoyncements,1
2021-07-23,annoyncements,4
2020-08-25,annoyncements,1
2023-06-19,annoyncements,2
2023-09-20,annoyncements,2
2020-04-17,annoyncements,2
2019-12-11,annoyncements,1
2020-05-23,annoyncements,1
2024-02-03,annoyncements,4
2023-12-18,annoyncements,1
2019-12-26,bot-shrine,2
2020-06-14,annoyncements,2
2019-03-13,annoyncements,2
2023-07-13,annoyncements,2
2019-10-13,bot-shrine,23
2019-12-08,bot-shrine,111
2021-09-01,annoyncements,1
2020-02-18,annoyncements,1
2022-12-22,annoyncements,2
2019-10-09,annoyncements,1
2021-07-04,annoyncements,1
2020-07-11,annoyncements,1
2021-09-12,annoyncements,3
2021-07-15,annoyncements,2
2020-07-24,annoyncements,2
2023-04-15,annoyncements,2
2021-06-06,annoyncements,2
2019-12-17,annoyncements,1
2022-01-14,annoyncements,1
2019-05-29,bot-shrine,130
2021-08-15,annoyncements,2
2023-01-03,annoyncements,2
2023-12-26,annoyncements,1
2020-04-08,annoyncements,1
2019-08-16,bot-shrine,334
2024-09-19,annoyncements,1
2020-05-30,annoyncements,4
2019-09-06,bot-shrine,239
2023-05-28,annoyncements,2
2019-11-17,annoyncements,1
2023-08-27,annoyncements,1
2024-09-22,annoyncements,2
2021-11-16,annoyncements,1
2019-02-22,annoyncements,2
2021-04-25,annoyncements,1
2023-06-03,annoyncements,1
2021-07-18,annoyncements,2
2024-08-24,annoyncements,1
2019-08-31,annoyncements,2
2023-09-11,annoyncements,1
2022-09-25,annoyncements,2
2024-02-16,annoyncements,2
2020-02-28,annoyncements,1
2023-05-31,annoyncements,1
2023-06-12,annoyncements,1
2020-12-01,annoyncements,2
2021-01-13,annoyncements,2
2019-05-04,bot-shrine,10
2019-02-20,annoyncements,4
2021-06-20,annoyncements,1
2023-07-17,annoyncements,2
2022-01-22,annoyncements,1
2023-04-27,annoyncements,1
2019-07-30,annoyncements,1
2024-01-04,annoyncements,1
2020-04-24,annoyncements,1
2019-03-16,bot-shrine,429
2020-01-15,annoyncements,1
2021-06-13,annoyncements,1
2019-06-24,annoyncements,1
2021-10-12,annoyncements,3
2019-07-04,bot-shrine,31
2020-11-11,annoyncements,2
2019-09-27,bot-shrine,28
2019-12-20,annoyncements,1
2019-09-24,bot-shrine,26
2023-09-25,annoyncements,1
2019-03-08,annoyncements,3
2019-05-26,annoyncements,1
2021-08-10,annoyncements,1
2023-01-30,annoyncements,1
2023-03-29,annoyncements,1
2023-09-15,annoyncements,1
2019-12-23,annoyncements,2
2020-03-11,annoyncements,1
2024-03-02,annoyncements,2
2024-06-11,annoyncements,1
2022-07-05,annoyncements,2
2019-11-25,bot-shrine,77
2021-04-07,annoyncements,1
2019-07-21,bot-shrine,18
2020-11-08,annoyncements,2
2023-12-08,annoyncements,1
2019-04-15,bot-shrine,47
2023-08-20,annoyncements,1
2024-06-30,annoyncements,2
2019-12-21,bot-shrine,15
2024-09-06,annoyncements,1
2021-04-18,annoyncements,2
2024-03-20,annoyncements,3
2024-08-12,annoyncements,2
2019-05-02,annoyncements,3
2020-09-18,annoyncements,7
2023-10-11,annoyncements,2
2024-09-14,annoyncements,2
